hó	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
jan	27043	39735	22715	33098	22893	25845	23127	39604	37913	73887	36537	58951	114087	10212	34767	10733	32647
febr	25558	18061	17150	23567	25706	4486	32016	23919	40695	46439	13561	66256	45570	12646	16675	4154	8351
márc	28243	31960	14693	31786	23731	3064	26230	42779	28891	65077	33370	54469	28551	11281		3997	4993
ápr	26648	45148	16804	15858	7135	10069	39491	33546	49445	32166	14896	37310	48742	9768	10828	2342	13185
máj	20231	30241	9939	21500	26671	11851	29821	19742	45666	50598	25104	60628	37753	8272	3673	1867	7999
jún	14050	33168	6450	33942	21511	36070	56573	13588	35588	74241	39204	53919	46350	10117	5318	211	10824
júl	29750	39895	21305	36523	32237	16915	36812	25934	50476	69248	13569	42431	41552	6423	11958	3375	15737
aug	23627	42061	15648	28074	23372	4203	35856	40524	39100	61411	32016	57978	50730	8031	2225	2168	5268
szept	30110	51036	13206	20164	27571	7261	20795	35638	25744	76627	34426	71492	29236	10013	5687		13249
okt	26624	32748	12933	37239	33950	10166	30517	49005	29371	74534	33615	73789	11374	11551	4463	1288	6417
nov	26480	45723	6536	18108	31420	9204	36034	15154	24141	70322	9467	69025	52176	7499	5036	4995	13654
dec	68369	49686	15066	24658	29735	28444	57936	51942	41119	46315	27119	65599	48272	10203	27577	1640	21627
